# Athena++ data at time=1.000000e+00  cycle=58  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0062  4.20000e-01  1.74661e+00  1.68001e+00  4.23546e-01  0.00000e+00  0.00000e+00
0063  4.60000e-01  1.52894e+00  1.67998e+00  4.23529e-01  0.00000e+00  0.00000e+00
0064  5.00000e-01  1.40150e+00  1.67998e+00  4.23531e-01  0.00000e+00  0.00000e+00
0065  5.40000e-01  1.36276e+00  1.68004e+00  4.23559e-01  0.00000e+00  0.00000e+00
0066  5.80000e-01  1.35674e+00  1.68016e+00  4.23619e-01  0.00000e+00  0.00000e+00
0067  6.20000e-01  1.35659e+00  1.68023e+00  4.23653e-01  0.00000e+00  0.00000e+00
0068  6.60000e-01  1.35686e+00  1.68023e+00  4.23653e-01  0.00000e+00  0.00000e+00
0069  7.00000e-01  1.35753e+00  1.68019e+00  4.23633e-01  0.00000e+00  0.00000e+00
0070  7.40000e-01  1.35791e+00  1.68006e+00  4.23569e-01  0.00000e+00  0.00000e+00
0071  7.80000e-01  1.35796e+00  1.67997e+00  4.23521e-01  0.00000e+00  0.00000e+00
0072  8.20000e-01  1.35797e+00  1.67996e+00  4.23516e-01  0.00000e+00  0.00000e+00
0073  8.60000e-01  1.35799e+00  1.68000e+00  4.23532e-01  0.00000e+00  0.00000e+00
0074  9.00000e-01  1.35808e+00  1.68015e+00  4.23610e-01  0.00000e+00  0.00000e+00
0075  9.40000e-01  1.35820e+00  1.68032e+00  4.23697e-01  0.00000e+00  0.00000e+00
0076  9.80000e-01  1.35826e+00  1.68036e+00  4.23720e-01  0.00000e+00  0.00000e+00
0077  1.02000e+00  1.35828e+00  1.68036e+00  4.23717e-01  0.00000e+00  0.00000e+00
0078  1.06000e+00  1.35826e+00  1.68026e+00  4.23668e-01  0.00000e+00  0.00000e+00
0079  1.10000e+00  1.35819e+00  1.68008e+00  4.23572e-01  0.00000e+00  0.00000e+00
0080  1.14000e+00  1.35816e+00  1.67997e+00  4.23517e-01  0.00000e+00  0.00000e+00
0081  1.18000e+00  1.35817e+00  1.67996e+00  4.23512e-01  0.00000e+00  0.00000e+00
