# Athena++ data at time=4.059296e-01  cycle=23  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0062  4.20000e-01  1.35775e+00  1.68000e+00  4.23504e-01  0.00000e+00  0.00000e+00
0063  4.60000e-01  1.35908e+00  1.68209e+00  4.24607e-01  0.00000e+00  0.00000e+00
0064  5.00000e-01  1.35958e+00  1.68327e+00  4.25272e-01  0.00000e+00  0.00000e+00
0065  5.40000e-01  1.35944e+00  1.68312e+00  4.25128e-01  0.00000e+00  0.00000e+00
0066  5.80000e-01  1.35176e+00  1.66732e+00  4.17031e-01  0.00000e+00  0.00000e+00
0067  6.20000e-01  1.29456e+00  1.55099e+00  3.54654e-01  0.00000e+00  0.00000e+00
0068  6.60000e-01  1.16100e+00  1.28978e+00  2.01098e-01  0.00000e+00  0.00000e+00
0069  7.00000e-01  1.04613e+00  1.07911e+00  5.91895e-02  0.00000e+00  0.00000e+00
0070  7.40000e-01  1.00683e+00  1.01145e+00  8.81664e-03  0.00000e+00  0.00000e+00
0071  7.80000e-01  1.00062e+00  1.00104e+00  8.02854e-04  0.00000e+00  0.00000e+00
0072  8.20000e-01  1.00004e+00  1.00007e+00  5.22117e-05  0.00000e+00  0.00000e+00
0073  8.60000e-01  1.00000e+00  1.00000e+00  2.64179e-06  0.00000e+00  0.00000e+00
0074  9.00000e-01  1.00000e+00  1.00000e+00  1.08987e-07  0.00000e+00  0.00000e+00
0075  9.40000e-01  1.00000e+00  1.00000e+00  3.74204e-09  0.00000e+00  0.00000e+00
0076  9.80000e-01  1.00000e+00  1.00000e+00  1.06822e-10  0.00000e+00  0.00000e+00
0077  1.02000e+00  1.00000e+00  1.00000e+00  2.48012e-12  0.00000e+00  0.00000e+00
0078  1.06000e+00  1.00000e+00  1.00000e+00  4.46148e-14  0.00000e+00  0.00000e+00
0079  1.10000e+00  1.00000e+00  1.00000e+00  5.71987e-16  0.00000e+00  0.00000e+00
0080  1.14000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0081  1.18000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0082  1.22000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0083  1.26000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0084  1.30000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0085  1.34000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0086  1.38000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0087  1.42000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0088  1.46000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0089  1.50000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0090  1.54000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0091  1.58000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0092  1.62000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0093  1.66000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0094  1.70000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0095  1.74000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0096  1.78000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0097  1.82000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0098  1.86000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0099  1.90000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0100  1.94000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
0101  1.98000e+00  1.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
